,AsylumCountry,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,Total,13493,17337,15099,14447,17673,11472,15653,24317,27226,16864
1,Afghanistan,122,157,96,104,160,85,86,78,79,46
2,Albania,21,21,11,27,24,6,18,45,48,14
3,Algeria,8,12,3,9,6,4,6,18,29,11
4,Angola,15,9,8,7,29,7,14,36,31,20
5,Armenia,47,41,75,89,47,15,32,107,124,63
6,Azerbaijan,21,28,21,14,15,11,17,72,94,75
7,Bahrain,4,22,4,2,3,0,2,2,2,2
8,Bangladesh,30,29,41,137,131,43,109,142,67,45
9,Belarus,142,249,132,56,79,18,40,136,178,70
10,Benin,3,2,3,4,5,2,10,3,3,6
11,Bolivia,18,20,8,2,3,4,2,5,8,0
12,Bosnia and Herzegovina,5,8,5,3,7,3,2,9,11,5
13,Brazil,38,45,27,25,30,17,29,110,185,130
14,Bulgaria,13,19,12,18,12,4,5,6,12,3
15,Burkina Faso,57,60,68,67,42,29,64,115,72,40
16,Burma,147,103,51,32,44,7,17,74,129,102
17,Burundi,20,21,24,72,75,47,35,42,40,36
18,Cambodia,0,2,0,9,0,0,2,10,10,2
19,Cameroon,245,257,154,94,92,33,70,178,261,158
20,Central African Republic,6,8,9,14,11,4,10,18,17,6
21,Chad,8,13,6,8,8,6,7,30,7,15
22,"China, People's Republic",3893,4668,4051,3904,2575,1385,2820,3750,3989,2855
23,Colombia,326,340,176,243,244,72,72,321,278,282
24,"Congo, Democratic Republic",51,69,51,36,68,32,51,75,83,59
25,"Congo, Republic",106,75,64,45,61,27,52,92,93,57
26,Cote d'Ivoire,107,111,59,26,39,17,27,41,29,28
27,Cuba,19,24,24,9,6,4,2,2,10,16
28,Djibouti,46,15,13,8,50,39,16,23,35,34
29,Dominican Republic,2,11,4,3,7,3,2,5,15,9
30,Ecuador,6,18,12,15,137,82,64,61,36,24
31,Egypt,754,2577,3081,2593,1522,686,1014,1401,2125,1336
32,El Salvador,99,136,71,182,1857,1379,2110,1141,875,291
33,Eritrea,162,122,96,154,244,256,348,335,254,178
34,Ethiopia,558,666,468,501,612,297,291,406,301,222
35,Fiji,18,16,10,20,4,7,5,3,3,2
36,Gabon,0,4,0,5,3,0,2,9,6,10
37,Gambia,69,109,56,52,79,61,82,64,52,33
38,Georgia,8,17,12,17,22,27,26,46,57,31
39,Ghana,8,7,5,4,5,12,5,10,8,7
40,Guatemala,292,312,231,313,1695,1273,1997,1303,1041,441
41,Guinea,82,62,29,27,60,25,52,66,59,52
42,Guyana,2,6,3,10,3,0,4,13,21,4
43,Haiti,819,635,436,456,340,99,55,164,185,152
44,Honduras,59,134,105,86,1098,855,1085,815,524,256
45,India,100,93,92,112,175,163,214,351,329,158
46,Indonesia,88,87,43,25,13,12,33,54,84,37
47,Iran,367,612,610,570,644,381,313,301,341,203
48,Iraq,264,315,411,546,701,597,469,397,375,184
49,Israel,5,5,3,0,0,3,15,18,6,2
50,Jamaica,49,48,36,32,41,25,38,92,89,40
51,Jordan,9,42,19,36,41,34,51,114,103,54
52,Kazakhstan,50,91,60,61,64,39,41,107,245,152
53,Kenya,106,129,89,61,55,27,70,90,125,60
54,Kosovo,18,28,18,34,50,16,29,22,27,7
55,Kuwait,3,4,2,7,16,3,9,14,8,3
56,Kyrgyzstan,150,145,84,101,106,71,97,90,91,76
57,Laos,5,2,2,3,2,2,3,10,2,11
58,Lebanon,22,22,13,17,25,23,27,38,30,32
59,Liberia,28,13,28,12,31,16,34,43,106,52
60,Libya,64,44,27,17,46,39,19,104,63,48
61,Malaysia,6,7,12,8,3,2,3,10,6,7
62,Mali,57,60,60,39,67,37,22,39,17,12
63,Mauritania,30,26,25,41,42,27,29,74,71,76
64,Mexico,165,299,202,464,654,449,476,715,783,490
65,Moldova,135,166,94,56,67,70,51,98,68,32
66,Mongolia,94,81,38,29,42,32,35,56,72,53
67,Montenegro,2,2,3,3,4,2,2,6,15,7
68,Morocco,8,9,4,4,8,5,5,9,17,3
69,Nepal,415,580,474,263,355,235,147,91,36,16
70,Nicaragua,12,25,5,8,31,20,30,32,313,188
71,Niger,2,4,2,3,4,9,7,21,4,5
72,Nigeria,32,67,64,49,98,70,123,452,764,411
73,North Macedonia,3,2,10,12,4,0,4,12,19,2
74,Pakistan,257,243,266,274,271,260,242,458,386,249
75,Peru,30,26,13,11,18,9,26,26,30,6
76,Philippines,2,11,7,2,3,9,7,19,11,2
77,Romania,12,8,2,9,2,5,10,15,16,14
78,Russia,451,488,335,208,300,206,286,756,1097,741
79,Rwanda,70,82,56,52,67,51,69,83,131,89
80,Saudi Arabia,9,17,45,21,23,31,48,68,82,45
81,Senegal,16,18,7,11,13,9,14,22,15,20
82,Serbia,2,0,0,0,0,0,0,0,26,6
83,Serbia and Montenegro (former),11,23,17,19,10,4,11,45,16,2
84,Sierra Leone,21,14,6,18,13,5,16,36,19,23
85,Somalia,28,42,29,22,12,9,13,12,20,15
86,South Africa,2,8,2,0,5,2,0,8,15,6
87,South Sudan,0,0,0,0,0,0,2,5,18,4
88,Soviet Union (former),0,0,2,0,0,0,0,0,25,18
89,Sri Lanka,53,26,29,28,30,22,28,41,38,22
90,Sudan,102,123,85,59,104,52,65,97,122,97
91,Syria,46,331,758,870,891,671,630,545,501,286
92,Tajikistan,31,25,23,21,15,20,8,20,13,13
93,Tanzania,10,12,2,12,4,3,5,8,6,7
94,Togo,26,16,20,20,11,10,13,29,39,28
95,Tunisia,3,7,9,6,6,8,2,12,4,10
96,Turkey,29,29,26,6,17,12,15,475,1714,1568
97,Turkmenistan,16,11,6,5,10,8,15,26,54,41
98,Uganda,100,93,50,57,70,44,57,165,170,142
99,Ukraine,123,129,100,93,137,124,191,368,280,150
100,Uzbekistan,118,84,65,54,60,72,48,122,81,34
101,Venezuela,909,967,602,315,457,316,477,5701,6200,3349
102,Vietnam,18,15,8,9,12,8,14,34,36,23
103,Yemen,33,36,43,26,55,39,47,56,109,48
104,Zimbabwe,79,57,40,17,32,13,27,60,73,49
105,All other countries1,54,58,32,38,30,21,40,65,69,37
106,Unknown,90,73,71,51,52,40,79,99,115,75
