,DefensiveAsylumCountry,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,Total,10138,10575,9767,8636,8140,8693,10565,13194,18904,14565
1,Afghanistan,18,33,16,18,14,23,28,28,31,20
2,Albania,101,67,60,64,75,94,118,180,122,79
3,Angola,2,2,2,2,2,6,11,19,29,22
4,Armenia,114,72,51,49,21,18,36,58,106,57
5,Azerbaijan,11,16,6,10,11,2,14,21,21,13
6,Bangladesh,39,57,65,51,92,91,120,287,367,289
7,Belarus,69,71,72,54,34,25,25,38,37,24
8,Benin,2,5,10,4,10,2,2,0,2,2
9,Bolivia,4,7,4,2,2,0,2,2,11,2
10,Brazil,18,13,14,5,2,5,10,21,38,50
11,Bulgaria,19,16,5,10,2,6,2,4,10,0
12,Burkina Faso,34,53,58,60,51,71,78,63,81,58
13,Burma,60,62,33,24,20,16,10,15,26,12
14,Burundi,8,10,12,31,18,28,20,22,47,16
15,Cameroon,160,150,136,110,92,114,219,312,659,591
16,Central African Republic,2,4,8,2,2,2,7,11,2,2
17,Chad,21,25,4,7,2,4,10,7,17,5
18,"China, People's Republic",4299,5000,4510,3981,3585,3077,2731,3048,3459,1949
19,Colombia,175,97,67,67,51,24,38,40,46,37
20,"Congo, Democratic Republic",13,14,25,25,22,8,32,50,56,42
21,"Congo, Republic",49,42,41,21,16,33,24,40,30,18
22,Cote d'Ivoire,62,56,58,47,36,17,19,23,30,20
23,Cuba,13,6,6,9,11,7,62,161,711,1226
24,Djibouti,4,5,9,2,12,2,11,6,10,6
25,Dominican Republic,7,4,4,11,6,8,6,8,6,22
26,Ecuador,18,15,25,19,43,39,77,119,121,103
27,Egypt,252,277,293,240,148,148,140,164,146,108
28,El Salvador,137,156,181,187,300,758,1343,1773,2320,1721
29,Eritrea,461,331,234,162,138,151,238,271,320,122
30,Ethiopia,446,406,387,317,252,185,155,121,181,74
31,Fiji,17,10,2,2,0,0,2,2,6,0
32,Gambia,38,70,74,76,51,45,32,32,24,8
33,Georgia,24,18,10,13,8,9,11,8,34,30
34,Ghana,7,7,10,14,36,65,74,36,48,27
35,Guatemala,145,192,149,164,363,631,953,1016,1544,1435
36,Guinea,144,124,92,57,43,49,79,85,87,33
37,Haiti,44,34,54,50,62,27,91,49,77,47
38,Honduras,58,73,93,151,303,620,956,1181,1291,1013
39,India,208,250,311,368,301,308,457,951,1927,1179
40,Indonesia,97,98,75,47,19,10,11,17,27,27
41,Iran,87,88,57,58,37,56,51,53,107,55
42,Iraq,101,91,52,79,52,26,45,74,105,94
43,Israel,12,5,2,2,2,0,2,2,4,2
44,Jamaica,6,11,5,5,7,7,8,10,15,4
45,Jordan,2,11,13,6,5,2,2,7,29,8
46,Kazakhstan,13,13,28,31,16,15,30,25,27,20
47,Kenya,81,69,38,49,21,11,14,22,28,26
48,Kosovo,12,32,34,28,18,19,32,31,43,15
49,Kyrgyzstan,14,25,36,35,48,48,37,64,80,55
50,Lebanon,14,21,17,4,2,6,4,8,28,5
51,Liberia,16,10,10,13,6,9,8,12,15,18
52,Libya,2,6,0,2,0,5,5,2,14,14
53,Mali,72,68,74,56,33,25,31,32,26,11
54,Mauritania,42,26,39,24,29,13,20,13,26,22
55,Mexico,92,117,154,105,200,456,551,631,802,717
56,Moldova,67,88,73,70,40,32,30,38,76,38
57,Mongolia,48,37,40,21,6,8,5,15,34,11
58,Nepal,310,379,385,282,250,260,290,469,605,307
59,Nicaragua,18,9,17,15,20,19,27,35,357,364
60,Nigeria,21,26,29,59,64,66,70,53,194,151
61,Pakistan,116,150,122,96,55,69,93,135,181,92
62,Peru,20,14,8,13,19,17,19,26,46,17
63,Philippines,5,8,4,0,2,2,2,11,7,8
64,Romania,9,8,38,20,28,37,38,44,40,31
65,Russia,170,155,192,115,100,81,59,118,299,244
66,Rwanda,13,20,28,43,15,19,22,39,28,24
67,Saudi Arabia,2,9,7,7,4,7,10,9,10,11
68,Senegal,19,25,19,16,18,7,23,12,14,11
69,Serbia and Montenegro (former),70,45,49,31,17,2,5,2,2,4
70,Sierra Leone,14,20,11,10,4,4,10,21,21,8
71,Somalia,189,82,81,117,177,154,90,41,32,16
72,South Africa,13,2,2,2,2,0,2,2,5,2
73,Soviet Union (former),238,255,228,158,159,,,,,
74,Sri Lanka,100,101,96,74,46,32,41,56,70,57
75,Sudan,29,36,32,14,21,25,25,25,37,9
76,Syria,6,28,46,65,104,77,145,157,135,62
77,Tajikistan,10,8,13,13,8,10,6,15,14,10
78,Togo,28,13,14,11,10,2,13,11,13,10
79,Turkey,11,22,2,2,14,2,13,26,60,54
80,Turkmenistan,7,9,2,4,4,2,4,8,12,5
81,Uganda,21,24,27,24,11,14,19,28,59,46
82,Ukraine,45,52,55,55,41,48,68,106,142,83
83,Uzbekistan,62,36,54,37,25,15,32,45,89,90
84,Venezuela,159,100,76,90,32,27,68,123,501,890
85,Vietnam,12,10,4,4,2,2,2,6,36,89
86,Yemen,28,14,9,18,7,9,4,21,21,20
87,Zimbabwe,39,34,20,7,2,2,13,8,12,8
88,All other countries1,157,122,116,79,72,55,65,79,96,95
89,Unknown2,115,92,44,2,2,153,2,2,200,143
