,Unnamed: 0,Year,Number
0,0,1820,8385.0
1,1,1821,9127.0
2,2,1822,6911.0
3,3,1823,6354.0
4,4,1824,7912.0
5,5,1825,10199.0
6,6,1826,10837.0
7,7,1827,18875.0
8,8,1828,27382.0
9,9,1829,22520.0
10,10,1830,23322.0
11,11,1831,22633.0
12,12,1832,60482.0
13,13,1833,58640.0
14,14,1834,65365.0
15,15,1835,45374.0
16,16,1836,76242.0
17,17,1837,79340.0
18,18,1838,38914.0
19,19,1839,68069.0
20,20,1840,84066.0
21,21,1841,80289.0
22,22,1842,104565.0
23,23,1843,52496.0
24,24,1844,78615.0
25,25,1845,114371.0
26,26,1846,154416.0
27,27,1847,234968.0
28,28,1848,226527.0
29,29,1849,297024.0
30,30,1850,369980.0
31,31,1851,379466.0
32,32,1852,371603.0
33,33,1853,368645.0
34,34,1854,427833.0
35,35,1855,200877.0
36,36,1856,200436.0
37,37,1857,251306.0
38,38,1858,123126.0
39,39,1859,121282.0
40,40,1860,153640.0
41,41,1861,91918.0
42,42,1862,91985.0
43,43,1863,176282.0
44,44,1864,193418.0
45,45,1865,248120.0
46,46,1866,318568.0
47,47,1867,315722.0
48,48,1868,138840.0
49,49,1869,352768.0
50,50,1870,387203.0
51,51,1871,321350.0
52,52,1872,404806.0
53,53,1873,459803.0
54,54,1874,313339.0
55,55,1875,227498.0
56,56,1876,169986.0
57,57,1877,141857.0
58,58,1878,138469.0
59,59,1879,177826.0
60,0,1880,457257.0
61,1,1881,669431.0
62,2,1882,788992.0
63,3,1883,603322.0
64,4,1884,518592.0
65,5,1885,395346.0
66,6,1886,334203.0
67,7,1887,490109.0
68,8,1888,546889.0
69,9,1889,444427.0
70,10,1890,455302.0
71,11,1891,560319.0
72,12,1892,579663.0
73,13,1893,439730.0
74,14,1894,285631.0
75,15,1895,258536.0
76,16,1896,343267.0
77,17,1897,230832.0
78,18,1898,229299.0
79,19,1899,311715.0
80,20,1900,448572.0
81,21,1901,487918.0
82,22,1902,648743.0
83,23,1903,857046.0
84,24,1904,812870.0
85,25,1905,1026499.0
86,26,1906,1100735.0
87,27,1907,1285349.0
88,28,1908,782870.0
89,29,1909,751786.0
90,30,1910,1041570.0
91,31,1911,878587.0
92,32,1912,838172.0
93,33,1913,1197892.0
94,34,1914,1218480.0
95,35,1915,326700.0
96,36,1916,298826.0
97,37,1917,295403.0
98,38,1918,110618.0
99,39,1919,141132.0
100,40,1920,430001.0
101,41,1921,805228.0
102,42,1922,309556.0
103,43,1923,522919.0
104,44,1924,706896.0
105,45,1925,294314.0
106,46,1926,304488.0
107,47,1927,335175.0
108,48,1928,307255.0
109,49,1929,279678.0
110,50,1930,241700.0
111,51,1931,97139.0
112,52,1932,35576.0
113,53,1933,23068.0
114,54,1934,29470.0
115,55,1935,34956.0
116,56,1936,36329.0
117,57,1937,50244.0
118,58,1938,67895.0
119,59,1939,82998.0
120,0,1940,70756.0
121,1,1941,51776.0
122,2,1942,28781.0
123,3,1943,23725.0
124,4,1944,28551.0
125,5,1945,38119.0
126,6,1946,108721.0
127,7,1947,147292.0
128,8,1948,170570.0
129,9,1949,188317.0
130,10,1950,249187.0
131,11,1951,205717.0
132,12,1952,265520.0
133,13,1953,170434.0
134,14,1954,208177.0
135,15,1955,237790.0
136,16,1956,321625.0
137,17,1957,326867.0
138,18,1958,253265.0
139,19,1959,260686.0
140,20,1960,265398.0
141,21,1961,271344.0
142,22,1962,283763.0
143,23,1963,306260.0
144,24,1964,292248.0
145,25,1965,296697.0
146,26,1966,323040.0
147,27,1967,361972.0
148,28,1968,454448.0
149,29,1969,358579.0
150,30,1970,373326.0
151,31,1971,370478.0
152,32,1972,384685.0
153,33,1973,398515.0
154,34,1974,393919.0
155,35,1975,385378.0
156,36,1976,499093.0
157,37,1977,458755.0
158,38,1978,589810.0
159,39,1979,394244.0
160,40,1980,524295.0
161,41,1981,595014.0
162,42,1982,533624.0
163,43,1983,550052.0
164,44,1984,541811.0
165,45,1985,568149.0
166,46,1986,600027.0
167,47,1987,599889.0
168,48,1988,641346.0
169,49,1989,1090172.0
170,50,1990,1535872.0
171,51,1991,1826595.0
172,52,1992,973445.0
173,53,1993,903916.0
174,54,1994,803993.0
175,55,1995,720177.0
176,56,1996,915560.0
177,57,1997,797847.0
178,58,1998,653206.0
179,59,1999,644787.0
180,0,2000,841002.0
181,1,2001,1058902.0
182,2,2002,1059356.0
183,3,2003,703542.0
184,4,2004,957883.0
185,5,2005,1122257.0
186,6,2006,1266129.0
187,7,2007,1052415.0
188,8,2008,1107126.0
189,9,2009,1130818.0
190,10,2010,1042625.0
191,11,2011,1062040.0
192,12,2012,1031631.0
193,13,2013,990553.0
194,14,2014,1016518.0
195,15,2015,1051031.0
196,16,2016,1183505.0
197,17,2017,1127167.0
198,18,2018,1096611.0
199,19,2019,1031765.0
200,20,2020,707362.0
