,State or territory of residence,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,Alabama,2439.0,2084.0,1811.0,1266.0,2834.0,2331.0,1045.0,2468.0,2982.0,3490.0
1,Alaska,1115.0,1186.0,1083.0,1076.0,964.0,972.0,1011.0,1379.0,1144.0,624.0
2,Arizona,12784.0,13090.0,13165.0,11268.0,13748.0,11374.0,12462.0,12072.0,14277.0,13672.0
3,Arkansas,1559.0,1605.0,1567.0,1671.0,1576.0,1809.0,1328.0,2070.0,2327.0,2182.0
4,California,151183.0,158850.0,164792.0,140234.0,155979.0,151830.0,157364.0,163059.0,148765.0,112738.0
5,Colorado,7805.0,7726.0,6263.0,5965.0,9423.0,8679.0,6104.0,7973.0,10840.0,8263.0
6,Connecticut,8370.0,8332.0,9253.0,8336.0,9838.0,9317.0,7441.0,10152.0,8460.0,6813.0
7,Delaware,1470.0,1456.0,1460.0,1175.0,1633.0,1386.0,1453.0,1546.0,1547.0,1034.0
8,District of Columbia,1016.0,1958.0,1854.0,1626.0,1684.0,1736.0,1944.0,1606.0,2090.0,1464.0
9,Florida,87309.0,100890.0,101773.0,79637.0,81960.0,88764.0,69485.0,95978.0,96149.0,78641.0
10,Georgia,17761.0,17093.0,19534.0,15242.0,20794.0,18866.0,16461.0,16590.0,25858.0,18694.0
11,Guam,675.0,800.0,691.0,709.0,712.0,711.0,842.0,849.0,578.0,473.0
12,Hawaii,3450.0,3144.0,3494.0,2931.0,3698.0,3673.0,3491.0,2666.0,4110.0,2522.0
13,Idaho,1473.0,1384.0,1305.0,1560.0,1427.0,1533.0,1994.0,2103.0,1660.0,1390.0
14,Illinois,29133.0,28376.0,27706.0,26224.0,25722.0,26003.0,24933.0,26477.0,30472.0,19835.0
15,Indiana,4085.0,4146.0,4369.0,4274.0,4686.0,5113.0,6420.0,6578.0,7386.0,5107.0
16,Iowa,1840.0,2255.0,2503.0,2000.0,2574.0,2805.0,2677.0,3610.0,4984.0,3539.0
17,Kansas,2687.0,2905.0,2761.0,2743.0,2830.0,3050.0,3152.0,3936.0,3875.0,3035.0
18,Kentucky,2778.0,2686.0,3341.0,2663.0,2846.0,3054.0,3445.0,4330.0,4723.0,2627.0
19,Louisiana,2496.0,2344.0,2543.0,2616.0,2956.0,2846.0,2160.0,2986.0,3130.0,3650.0
20,Maine,999.0,941.0,988.0,909.0,1102.0,983.0,1039.0,1124.0,1076.0,710.0
21,Maryland,15790.0,16160.0,17752.0,13707.0,18390.0,19775.0,17729.0,12434.0,19349.0,19878.0
22,Massachusetts,22812.0,22753.0,21404.0,21608.0,23554.0,24577.0,27739.0,24826.0,22894.0,20367.0
23,Michigan,10414.0,11069.0,12950.0,11809.0,12473.0,13576.0,12725.0,14338.0,16464.0,9074.0
24,Minnesota,11044.0,12016.0,10526.0,9176.0,7533.0,8573.0,7834.0,8348.0,14092.0,12016.0
25,Mississippi,965.0,972.0,973.0,931.0,946.0,990.0,662.0,1126.0,1138.0,972.0
26,Missouri,4175.0,4794.0,4817.0,4250.0,4318.0,4657.0,5109.0,5274.0,5501.0,4050.0
27,Montana,297.0,325.0,294.0,304.0,249.0,314.0,347.0,401.0,361.0,290.0
28,Nebraska,1876.0,2039.0,2418.0,2348.0,2221.0,2405.0,2422.0,3168.0,3662.0,2705.0
29,Nevada,8519.0,7667.0,8507.0,7891.0,7900.0,8923.0,7438.0,7369.0,9046.0,10200.0
30,New Hampshire,1607.0,1507.0,1589.0,1413.0,1570.0,1501.0,1897.0,1815.0,1585.0,986.0
31,New Jersey,33826.0,42622.0,41173.0,32939.0,34857.0,40344.0,38611.0,40089.0,36661.0,22185.0
32,New Mexico,2434.0,2689.0,2371.0,2426.0,2452.0,2524.0,3312.0,3580.0,3363.0,2285.0
33,New York,76603.0,93584.0,107330.0,77717.0,90368.0,93376.0,86407.0,81404.0,85444.0,56273.0
34,North Carolina,11360.0,11848.0,12150.0,11160.0,11569.0,12492.0,13890.0,13622.0,17314.0,13261.0
35,North Dakota,369.0,377.0,532.0,525.0,561.0,1046.0,607.0,514.0,719.0,683.0
36,Ohio,9326.0,10194.0,10664.0,9032.0,9580.0,10029.0,12427.0,14002.0,14004.0,9553.0
37,Oklahoma,2966.0,3133.0,3487.0,2472.0,3858.0,3953.0,3769.0,4051.0,3790.0,2553.0
38,Oregon,5657.0,5872.0,5784.0,4363.0,6130.0,7173.0,6382.0,7757.0,6715.0,4398.0
39,Pennsylvania,16162.0,16470.0,17813.0,14500.0,16554.0,17239.0,14898.0,19007.0,21014.0,12925.0
40,Puerto Rico,1692.0,2212.0,2447.0,2439.0,2826.0,2514.0,2651.0,1792.0,1127.0,1187.0
41,Rhode Island,2682.0,2854.0,2816.0,2479.0,2728.0,2736.0,3415.0,3046.0,2312.0,1476.0
42,South Carolina,4033.0,4124.0,4770.0,4486.0,4611.0,4159.0,5033.0,3897.0,3995.0,3436.0
43,South Dakota,420.0,467.0,464.0,676.0,542.0,647.0,632.0,625.0,780.0,834.0
44,Tennessee,5396.0,5557.0,5004.0,4613.0,5381.0,5371.0,3645.0,5518.0,6720.0,7449.0
45,Texas,52927.0,57762.0,57947.0,52879.0,65467.0,63945.0,50552.0,64685.0,97675.0,66942.0
46,Utah,3595.0,3848.0,3026.0,4314.0,4838.0,3775.0,3141.0,3408.0,5365.0,5226.0
47,Vermont,431.0,546.0,496.0,552.0,570.0,589.0,760.0,693.0,614.0,391.0
48,Virginia,13782.0,24224.0,22279.0,19646.0,18391.0,20437.0,21930.0,18118.0,23345.0,17360.0
49,Washington,17317.0,17524.0,17589.0,12246.0,14341.0,21655.0,16030.0,14745.0,18510.0,15969.0
50,West Virginia,348.0,478.0,443.0,415.0,501.0,495.0,560.0,573.0,492.0,318.0
51,Wisconsin,4434.0,4379.0,4532.0,3770.0,3738.0,3825.0,3165.0,4715.0,5692.0,3556.0
52,Wyoming,228.0,220.0,242.0,217.0,257.0,233.0,247.0,256.0,330.0,208.0
53,Other1,1853.0,1120.0,983.0,838.0,895.0,1024.0,686.0,700.0,1164.0,834.0
54,Unknown,6426.0,2777.0,2101.0,1150.0,1104.0,1353.0,4362.0,6453.0,15923.0,7911.0
