,DeportedYear,ByOrder,NotOrdered
0,1927,31417.0,15012.0
1,1928,30464.0,19946.0
2,1929,31035.0,25888.0
3,1930,24864.0,11387.0
4,1931,27886.0,11719.0
5,1932,26490.0,10775.0
6,1933,25392.0,10347.0
7,1934,14263.0,8010.0
8,1935,13877.0,7978.0
9,1936,16195.0,8251.0
10,1937,16905.0,8788.0
11,1938,17341.0,9278.0
12,1939,14700.0,9590.0
13,1940,12254.0,8594.0
14,1941,7336.0,6531.0
15,1942,5542.0,6904.0
16,1943,5702.0,11947.0
17,1944,8821.0,32270.0
18,1945,13611.0,69490.0
19,1946,17317.0,101945.0
20,1947,23434.0,195880.0
21,1948,25276.0,197184.0
22,1949,23874.0,276297.0
23,1950,10199.0,572477.0
24,1951,17328.0,673169.0
25,1952,23125.0,703778.0
26,1953,23482.0,885391.0
27,1954,30264.0,1074277.0
28,1955,17695.0,232769.0
29,1956,9006.0,80891.0
30,1957,5989.0,63379.0
31,1958,7875.0,60600.0
32,1959,8468.0,56610.0
33,1960,7240.0,52796.0
34,1961,8181.0,52383.0
35,1962,8025.0,54164.0
36,1963,7763.0,69392.0
37,1964,9167.0,73042.0
38,1965,10572.0,95263.0
39,1966,9680.0,123683.0
40,1967,9728.0,142343.0
41,1968,9590.0,179952.0
42,1969,11030.0,240958.0
43,1970,17469.0,303348.0
44,1971,18294.0,370074.0
45,1972,16883.0,450927.0
46,1973,17346.0,568005.0
47,1974,19413.0,718740.0
48,1975,24432.0,655814.0
49,1976 3,38471.0,955374.0
50,1977,31263.0,867015.0
51,1978,29277.0,975515.0
52,1979,26825.0,966137.0
53,1980,18013.0,719211.0
54,1981,17379.0,823875.0
55,1982,15216.0,812572.0
56,1983,19211.0,931600.0
57,1984,18696.0,909833.0
58,1985,23105.0,1041296.0
59,1986,24592.0,1586320.0
60,1987,24336.0,1091203.0
61,1988,25829.0,911790.0
62,1989,34427.0,830890.0
63,1990,30039.0,1022533.0
64,1991,33189.0,1061105.0
65,1992,43671.0,1105829.0
66,1993,42542.0,1243410.0
67,1994,45674.0,1029107.0
68,1995,50924.0,1313764.0
69,1996,69680.0,1573428.0
70,1997,114432.0,1440684.0
71,1998,174813.0,1570127.0
72,1999,183114.0,1574863.0
73,2000,188467.0,1675876.0
74,2001,189026.0,1349371.0
75,2002,165168.0,1012116.0
76,2003,211098.0,945294.0
77,2004,240665.0,1166576.0
78,2005,246431.0,1096920.0
79,2006,280974.0,1043381.0
80,2007,319382.0,891390.0
81,2008,359795.0,811263.0
82,2009,379739.0,582567.0
83,2010,382449.0,471798.0
84,2011,390413.0,322046.0
85,2012,415587.0,231106.0
86,2013,432212.0,178975.0
87,2014,405042.0,163838.0
88,2015,325191.0,129661.0
89,2016 4,331570.0,106454.0
90,2017,286758.0,100694.0
91,2018,327568.0,159933.0
92,2019,348468.0,171126.0
93,2020,239151.0,167327.0
