RefugeeYear,Number
1980,207116.0
1981,159252.0
1982,98096.0
1983,61218.0
1984,70393.0
1985,67704.0
1986,62146.0
1987,64528.0
1988,76483.0
1989,107070.0
1990,122066.0
1991,113389.0
1992,115548.0
1993,114181.0
1994,111680.0
1995,98973.0
1996,75421.0
1997,69653.0
1998,76712.0
1999,85285.0
2000,72165.0
2001,68920.0
2002,26785.0
2003,28286.0
2004,52840.0
2005,53738.0
2006,41094.0
2007,48218.0
2008,60107.0
2009,74602.0
2010,73293.0
2011,56384.0
2012,58179.0
2013,69909.0
2014,69975.0
2015,69920.0
2016,84989.0
2017,53691.0
2018,22405.0
2019,29916.0
2020,11840.0
